date_cleaned,academic_period,normalized_symptoms,course_mapped,age,gender,visit_count,respiratory_count,digestive_count,pain_count,fever_count,other_count,student_visits,staff_visits,other_visits,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,sunshine_duration,wind_speed_10m_max,precipitation_sum,relative_humidity_2m_mean,wind_speed_10m_mean,pm10_mean,pm10_max,pm10_min,pm2_5_mean,pm2_5_max,pm2_5_min,carbon_monoxide_mean,carbon_monoxide_max,carbon_monoxide_min,nitrogen_dioxide_mean,nitrogen_dioxide_max,nitrogen_dioxide_min,ozone_mean,ozone_max,ozone_min,aqi_category,high_pm2_5,high_pm10,high_ozone,respiratory_risk_score,pm10_mean_7day,pm2_5_mean_7day,ozone_mean_7day,temperature_range,heat_humidity_index,is_rainy_day,is_hot_day,is_humid_day,is_high_pollution,is_very_high_pollution
2022-09-14,prelim,"headache,asthma,malaise,hyperventilation,stomach ache,allergy,fever","['baels', 'bsit', 'bslm', 'bscrim', 'bslm', 'bsba', 'bscrim']",21.571428571428573,"['Female', 'Female', 'Female', 'Male', 'Male', 'Female', 'Male']",7,1,1,1,2,2,7,0,0,,,,,,,,,,22.88,28.4,18.5,14.8,19.3,11.5,302.71,373.0,252.0,3.34,8.7,0.45,53.54,81.0,23.0,good,False,False,False,0,23.63,15.5,58.3,,,False,False,False,False,False
2022-09-20,prelim,"nosebleed,hyperacidity","['beed', 'bse']",20.0,"['Female', 'Female']",2,0,1,0,0,1,2,0,0,,,,,,,,,,12.36,18.8,8.6,8.52,12.9,5.9,176.17,209.0,154.0,1.84,3.9,0.3,44.83,60.0,35.0,good,False,False,False,0,15.97,10.74,54.85,,,False,False,False,False,False
2022-09-21,prelim,headache,['bshm'],18.0,['Male'],1,0,0,1,0,0,1,0,0,,,,,,,,,,8.75,11.4,4.7,5.9,7.6,3.1,186.71,221.0,166.0,1.59,3.0,0.15,52.0,70.0,34.0,good,False,False,False,0,14.11,9.38,53.66,,,False,False,False,False,False
2022-09-27,prelim,lbm,['bse'],19.0,['Female'],1,0,1,0,0,0,1,0,0,,,,,,,,,,13.96,18.7,9.3,9.64,12.9,6.4,165.0,193.0,126.0,2.97,8.15,0.25,43.29,62.0,28.0,good,False,False,False,0,10.23,6.88,43.43,,,False,False,False,False,False
2022-09-28,prelim,"earache,hyperacidity,stomach ache,asthma,cough","['bscrim', 'bscrim', 'bslm', 'bscrim']",18.75,"['Female', 'Female', 'Female', 'Female']",4,2,2,0,0,1,4,0,0,,,,,,,,,,10.9,16.0,8.5,7.53,11.0,5.9,125.42,162.0,111.0,1.81,3.95,0.25,36.42,47.0,29.0,good,False,False,False,0,9.02,6.18,40.24,,,False,False,False,False,False
2022-09-29,prelim,stomach ache,['bsit'],19.0,['Female'],1,0,1,0,0,0,1,0,0,,,,,,,,,,8.84,14.6,5.5,6.14,10.1,3.8,119.62,161.0,102.0,1.91,6.75,0.25,35.71,48.0,26.0,good,False,False,False,0,9.77,6.67,38.43,,,False,False,False,False,False
2022-10-03,prelim,asthma,['bslm'],18.0,['Male'],1,1,0,0,0,0,1,0,0,,,,,,,,,,10.86,16.1,7.7,7.2,10.7,4.9,116.96,142.0,94.0,2.76,5.45,0.6,31.54,43.0,21.0,good,False,False,False,0,8.63,5.82,34.05,,,False,False,False,False,False
2022-10-05,prelim,cough,['bat'],19.0,['Male'],1,1,0,0,0,0,1,0,0,,,,,,,,,,7.66,10.2,5.4,5.25,7.1,3.6,106.21,128.0,86.0,2.0,4.15,0.2,32.58,45.0,23.0,good,False,False,False,0,8.79,5.94,34.64,,,False,False,False,False,False
2022-10-06,prelim,headache,['beed'],17.0,['Female'],1,0,0,1,0,0,1,0,0,,,,,,,,,,8.29,13.3,5.8,5.6,9.0,3.9,108.96,155.0,85.0,2.12,6.6,0.2,38.67,49.0,28.0,good,False,False,False,0,9.27,6.26,35.04,,,False,False,False,False,False
2022-10-10,prelim,headache,['bscrim'],18.0,['Female'],1,0,0,1,0,0,1,0,0,,,,,,,,,,9.69,19.7,4.3,6.39,13.1,2.9,123.25,168.0,90.0,1.9,5.0,0.25,38.46,59.0,24.0,good,False,False,False,0,8.68,5.86,38.08,,,False,False,False,False,False
2022-10-11,prelim,"cough,itchy throat,punctured wound,asthma","['bse', 'bstm', 'bat', 'bsitelectech']",20.0,"['Female', 'Female', 'Male', 'Male']",4,3,0,0,0,1,4,0,0,,,,,,,,,,6.64,10.3,2.8,4.39,6.3,1.9,139.96,162.0,114.0,1.39,2.65,0.55,53.62,72.0,35.0,good,False,False,False,0,8.86,5.94,39.21,,,False,False,False,False,False
2022-10-13,prelim,"stomach ache,dizziness,dysmenorrhea,malaise,cold,fever,hyperacidity,hyperacidity,stomach ache,dizziness","['beed', 'bsentrep', 'bsentrep', 'bsitelectech', 'bsba', 'bscs', 'bslm']",19.428571428571427,"['Female', 'Female', 'Female', 'Male', 'Male', 'Male', 'Male']",7,1,2,1,2,4,7,0,0,,,,,,,,,,8.46,14.2,6.4,5.78,9.5,4.3,111.71,134.0,94.0,2.04,3.8,0.25,32.92,45.0,22.0,good,False,False,False,0,8.51,5.71,41.16,,,False,False,False,False,False
2022-10-17,prelim,stomach ache,['bse'],20.0,['Female'],1,0,1,0,0,0,1,0,0,,,,,,,,,,13.2,15.4,11.4,8.51,10.1,7.1,166.38,190.0,137.0,2.54,5.15,0.2,51.46,81.0,27.0,good,False,False,False,0,11.23,7.54,47.5,,,False,False,False,False,False
2022-10-18,prelim,"dysmenorrhea,headache,pimple,dysmenorrhea,dysmenorrhea,cough,body pain,cold,fever,lbm,hyperacidity,dizziness,lbm","['bse', 'bscrim', 'bse', 'beed', 'bsba', 'bsba', 'bsba', 'bsentrep', 'bat', 'bat', 'bslm']",18.818181818181817,"['Female', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Male']",11,2,2,3,1,5,11,0,0,,,,,,,,,,16.45,21.0,14.0,11.13,14.4,9.3,170.83,191.0,140.0,2.14,3.8,0.1,49.88,73.0,25.0,good,False,False,False,0,11.17,7.57,47.73,,,False,False,False,False,False
2022-10-19,prelim,"stomach ache,stomach ache,uti,asthma","['bat', 'bsit', 'bstm', 'bsba']",18.75,"['Male', 'Male', 'Female', 'Male']",4,1,1,0,0,2,4,0,0,,,,,,,,,,10.8,14.6,8.1,7.39,9.9,5.6,176.54,200.0,164.0,1.64,3.55,0.25,58.17,79.0,45.0,good,False,False,False,0,11.73,7.98,46.71,,,False,False,False,False,False
2022-10-20,prelim,"dizziness,dysmenorrhea,dizziness","['bshm', 'bsit']",18.0,"['Female', 'Female']",2,0,0,1,0,2,2,0,0,,,,,,,,,,10.07,14.3,5.6,6.97,10.0,3.9,153.08,177.0,132.0,2.25,4.45,0.8,43.0,50.0,33.0,good,False,False,False,0,13.16,8.97,44.61,,,False,False,False,False,False
2022-10-22,prelim,"cough,dizziness,fever","['beed', 'bscrim', 'bapos']",18.666666666666668,"['Female', 'Female', 'Female']",3,1,0,0,1,1,3,0,0,,,,,,,,,,14.1,22.1,11.0,9.8,15.3,7.6,169.83,228.0,131.0,3.72,9.95,0.1,33.04,55.0,18.0,good,False,False,False,0,12.03,8.19,41.31,,,False,False,False,False,False
2022-10-24,prelim,"pimple,dizziness,epigastric pain,dizziness,dysmenorrhea","['beed', 'beed', 'bscrim', 'bsentrep']",19.25,"['Female', 'Male', 'Female', 'Female']",4,0,1,1,0,3,4,0,0,,,,,,,,,,11.25,20.1,5.0,7.79,14.0,3.5,103.79,128.0,85.0,1.86,3.3,0.3,28.17,39.0,20.0,good,False,False,False,0,14.93,9.49,44.69,,,False,False,False,False,False
