year_week,week_start_date,academic_period,symptoms_combined,courses_list,avg_age,genders_list,week_start,week_end,visit_count,respiratory_count,digestive_count,pain_count,fever_count,other_count,student_visits,staff_visits,other_visits,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_mean,sunshine_duration,pm2_5_mean,pm10_mean,ozone_mean,carbon_monoxide_mean,nitrogen_dioxide_mean,respiratory_risk_score,aqi_category,temperature_range,heat_humidity_index,is_rainy_week,is_hot_week,is_humid_week,is_high_pollution,is_very_high_pollution,weather_stress_score
2022-W38,2022-09-19,prelim,"headache,nosebleed,hyperacidity","['bshm', 'beed', 'bse']",19.333333333333332,"['Male', 'Female', 'Female']",2022-09-20,2022-09-21,3.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,25.79,31.96,22.31,86.31,126.7,5.56,204491.65,9.38,14.11,53.66,196.12,1.81,0.0,good,9.650000000000002,22.259349,True,False,True,False,False,2
2022-W39,2022-09-26,prelim,"stomach ache,earache,hyperacidity,stomach ache,asthma,cough,lbm","['bsit', 'bscrim', 'bscrim', 'bslm', 'bscrim', 'bse']",18.833333333333332,"['Female', 'Female', 'Female', 'Female', 'Female', 'Female']",2022-09-27,2022-09-29,6.0,2.0,3.0,0.0,0.0,2.0,6.0,0.0,0.0,25.67,31.61,22.31,89.37,109.9,4.74,207517.1,6.18,9.02,40.24,129.01,1.93,0.0,good,9.3,22.941279,True,False,True,False,False,2
2022-W40,2022-10-03,prelim,"asthma,cough,headache","['bslm', 'bat', 'beed']",18.0,"['Male', 'Male', 'Female']",2022-10-03,2022-10-06,3.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,25.71,31.11,22.46,88.84,78.7,4.65,209249.06,5.94,8.79,34.64,111.54,2.17,0.0,good,8.649999999999999,22.840764000000004,True,False,True,False,False,2
2022-W41,2022-10-10,prelim,"stomach ache,dizziness,dysmenorrhea,malaise,cold,fever,hyperacidity,hyperacidity,stomach ache,dizziness,headache,cough,itchy throat,punctured wound,asthma","['beed', 'bsentrep', 'bsentrep', 'bsitelectech', 'bsba', 'bscs', 'bslm', 'bscrim', 'bse', 'bstm', 'bat', 'bsitelectech']",19.5,"['Female', 'Female', 'Female', 'Male', 'Male', 'Male', 'Male', 'Female', 'Female', 'Female', 'Male', 'Male']",2022-10-10,2022-10-13,12.0,4.0,2.0,2.0,2.0,5.0,12.0,0.0,0.0,25.29,31.61,22.31,87.48,180.5,9.49,132011.89,6.29,9.39,39.85,124.51,2.03,0.0,good,9.3,22.123692,True,False,True,False,False,2
2022-W42,2022-10-17,prelim,"cough,dizziness,fever,dysmenorrhea,headache,pimple,dysmenorrhea,dysmenorrhea,cough,body pain,cold,fever,stomach ache,stomach ache,uti,asthma,dizziness,dysmenorrhea,dizziness,stomach ache,lbm,hyperacidity,dizziness,lbm","['beed', 'bscrim', 'bapos', 'bse', 'bscrim', 'bse', 'beed', 'bsba', 'bsba', 'bsba', 'bat', 'bsit', 'bstm', 'bsba', 'bshm', 'bsit', 'bse', 'bsentrep', 'bat', 'bat', 'bslm']",18.761904761904763,"['Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Male', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Male']",2022-10-17,2022-10-22,21.0,3.0,3.0,3.0,1.0,14.0,21.0,0.0,0.0,25.5,32.61,22.36,89.56,158.9,4.9,164917.32,7.98,11.73,46.71,161.94,2.5,0.0,good,10.25,22.8378,True,True,True,False,False,3
2022-W43,2022-10-24,prelim,"cold,cough,vomiting,dysmenorrhea,lbm,headache,dizziness,cough,dizziness,headache,headache,dysmenorrhea,dizziness,dizziness,hyperventilation,shortness of breath,fever,fever,headache,dysmenorrhea,pimple,dizziness,epigastric pain,dizziness,dysmenorrhea,lbm","['bstm', 'staff', 'staff', 'staff', 'bsit', 'bslm', 'bat', 'bscrim', 'bsais', 'bsentrep', 'bse', 'bse', 'bse', 'baels', 'staff', 'bsentrep', 'beed', 'beed', 'bscrim', 'bsentrep', 'bslm']",21.22222222222222,"['Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Female', 'Male', 'Female', 'Female', 'Male', 'Female', 'Female', 'Male']",2022-10-24,2022-10-27,21.0,2.0,3.0,2.0,1.0,18.0,17.0,4.0,0.0,24.99,29.76,22.61,88.47,217.8,11.0,128795.64,8.17,13.09,43.49,128.87,1.63,0.0,good,7.150000000000002,22.108653,True,False,True,False,False,2
2022-W44,2022-10-31,prelim,,[],20.0,[],2022-10-31,2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.11,31.76,22.01,85.44,70.8,6.49,244552.51,8.88,13.66,53.27,194.72,2.2,0.0,good,9.75,22.308383999999997,True,False,True,False,False,2
2022-W45,2022-11-07,midterm,"uti,malaise,abrasion,cold,abrasion,clammy skin,hyperventilation,cold,dizziness,menstrual cramps,stiff neck,cold,cough,cold,cough,dysmenorrhea,headache,dysmenorrhea,chest pain,lbm,fever,hyperventilation,lbm,cold,allergy,cold,migraine,headache,headache,runny nose,runny nose,headache,headache,cold,allergy,allergy,cold,cough,dizziness,cold,cold,stomach ache,headache,stitches,abrasion,cold,lbm,dizziness,dizziness","['bsit', 'bse', 'bsentrep', 'bsit', 'bscs', 'bsma', 'bscrim', 'bsit', 'bstm', 'bscrim', 'bstm', 'bstm', 'baels', 'bapos', 'staff', 'bshm', 'bsais', 'bscs', 'bse', 'staff', 'staff', 'bsentrep', 'bsentrep', 'bslm', 'bse', 'bse', 'beed', 'staff', 'staff', 'bslm', 'bshm', 'bscrim', 'baels', 'staff', 'bsma', 'bscrim', 'bscrim', 'bstm', 'bat', 'bshm', 'bscs', 'bscs', 'bslm', 'bsitautotech', 'bse']",20.4,"['Female', 'Male', 'Female', 'Male', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Male', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Male', 'Female', 'Female', 'Male', 'Female']",2022-11-07,2022-11-12,45.0,3.0,2.0,4.0,2.0,38.0,39.0,6.0,0.0,25.41,31.26,22.21,89.52,49.1,4.49,213215.84,8.45,12.53,34.5,127.72,2.41,0.0,good,9.05,22.747032,True,False,True,False,False,2
2022-W46,2022-11-14,midterm,"headache,cold,fever,cough,cough,allergy,fever,vomiting,cold,dysmenorrhea,asthma,stomach ache,asthma,cold,cough,hyperventilation,itchy throat,epigastric pain,hyperacidity,lbm,infection,fever,dysmenorrhea,allergy","['bapos', 'bscrim', 'bsba', 'bsit', 'beed', 'bapos', 'bslm', 'bslm', 'beed', 'bsba', 'bsba', 'bslm', 'bsba', 'bslm', 'bapos', 'bapos', 'bsit', 'bscrim', 'bapos', 'bshm']",19.210526315789473,"['Female', 'Female', 'Female', 'Male', 'Female', 'Male', 'Female', 'Male', 'Female', 'Female', 'Male', 'Female', 'Female', 'Male', 'Male', 'Female', 'Female', 'Female', 'Female', 'Male']",2022-11-14,2022-11-17,20.0,4.0,5.0,2.0,2.0,11.0,20.0,0.0,0.0,25.29,30.91,22.21,88.06,45.5,5.71,193957.32,8.9,13.63,37.3,122.47,2.6,0.0,good,8.7,22.270374,True,False,True,False,False,2
2022-W47,2022-11-21,midterm,"cold,dizziness,fever,skin allergy,malaise,cold,cough,fever,cold,fever,cold,cough,cold,fever,cold,cough,menstrual cramps,hyperacidity,headache,headache,asthma,dizziness,dysmenorrhea,infection,fever,lbm,epigastric pain,headache,epigastric pain,dysmenorrhea","['bscs', 'bse', 'beed', 'bsentrep', 'bshm', 'baels', 'bstm', 'bsba', 'bsma', 'beed', 'bsma', 'bstm', 'bsit', 'bslm', 'bse', 'bsais', 'bsba', 'bsba', 'bsba', 'bsba', 'bsma', 'bsit', 'bscrim']",18.9,"['Male', 'Female', 'Male', 'Female', 'Female', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Male', 'Male', 'Female', 'Female', 'Female', 'Male', 'Female', 'Female', 'Male', 'Male', 'Female']",2022-11-21,2022-11-24,23.0,3.0,3.0,3.0,3.0,18.0,23.0,0.0,0.0,25.81,31.66,20.41,83.97,19.0,4.62,216489.36,8.9,13.14,31.47,130.84,3.48,0.0,good,11.25,21.672656999999997,True,False,True,False,False,2
2022-W48,2022-11-28,midterm,"dizziness,muscle strain,dry mouth,cramps,headache,dysmenorrhea,cramps,stomach ache,cut,dizziness,headache,hematoma","['bslm', 'bsba', 'bsba', 'bscrim', 'bse', 'bscrim', 'beed', 'bstm', 'bat', 'bslm', 'beed']",19.181818181818183,"['Female', 'Female', ' Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Female', 'Male', 'Female']",2022-11-28,2022-12-03,11.0,0.0,1.0,4.0,0.0,7.0,11.0,0.0,0.0,25.89,31.41,21.06,84.17,32.0,6.36,236508.15,8.75,13.16,35.79,135.12,2.84,0.0,good,10.350000000000001,21.791613,True,False,True,False,False,2
2022-W49,2022-12-05,midterm,"fever,dysmenorrhea,cold,cough,infection,headache","['baels', 'bscrim', 'bslm', 'bsit', 'bscs']",20.4,"['Female', 'Female', 'Male', 'Female', 'Female']",2022-12-06,2022-12-07,5.0,2.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,24.83,29.01,22.11,86.11,72.4,8.57,161933.51,6.17,9.5,49.67,126.14,1.68,0.0,good,6.900000000000002,21.381113,True,False,True,False,False,2
2022-W50,2022-12-12,midterm,"cold,cold,diarrhea","['bsit', 'baels']",18.666666666666668,"['Male', 'Male', 'Male']",2022-12-14,2022-12-14,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,24.1,28.66,21.41,89.28,58.4,8.49,116397.48,5.56,8.42,42.84,119.47,1.66,0.0,good,7.25,21.51648,True,False,True,False,False,2
2022-W51,2022-12-19,midterm,,[],20.0,[],2022-12-19,2022-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.92,26.86,18.96,80.92,46.7,13.95,70352.22,8.58,14.4,64.83,189.8,1.32,0.0,good,7.899999999999999,17.737664000000002,True,False,True,False,False,2
2022-W52,2022-12-26,midterm,,[],20.0,[],2022-12-26,2022-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.11,26.66,18.21,87.28,74.1,10.15,128722.53,9.1,15.29,59.5,160.99,1.57,0.0,good,8.45,19.297608,True,False,True,False,False,2
