academic_period_encoded,is_exam_period,days_since_semester_start,sin_day,cos_day,sin_week,cos_week,temperature_2m_mean,pm2_5_mean,precipitation_sum,wind_speed_10m_mean,temperature_range,heat_humidity_index,pollution_respiratory_risk,temp_fever_risk,cold_weather_stress,respiratory_digestive_interaction,pain_fever_interaction,total_symptom_load,symptom_diversity,respiratory_dominance,visit_count_lag_1,visit_count_lag_3,visit_count_lag_7,visit_count_lag_14,respiratory_count_lag_1,respiratory_count_lag_3,respiratory_count_lag_7,respiratory_count_lag_14,fever_count_lag_1,fever_count_lag_3,fever_count_lag_7,fever_count_lag_14,visit_count_rolling_3d,visit_count_rolling_7d,visit_count_rolling_30d,respiratory_count_rolling_std_3d,target,date
2,False,50,-0.9829265519799822,-0.1839983516576798,0.7818314824680298,0.6234898018587336,25.515833,8.52,16.0,3.2727544,8.5,22.5419218385172,8.52,0.0,0.0,1.0,0.0,2.0,2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.2857142857142858,1.2857142857142858,0.5773502691896258,respiratory,2022-09-20
2,False,51,-0.9859481499638304,-0.1670516255021195,0.9749279121818236,-0.2225209339563143,26.013754,5.9,2.3999999,4.138143,7.550000000000001,21.7558929824158,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.4285714285714285,1.25,0.5773502691896258,pain,2022-09-21
2,False,57,-0.9979171608653922,-0.0645084494493162,0.7818314824680298,0.6234898018587336,25.71167,9.64,36.700005,4.602945,8.149999999999999,23.139263697506003,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.7857142857142857,0.0,digestive,2022-09-27
2,False,58,-0.9988797155850336,-0.0473213883224323,0.9749279121818236,-0.2225209339563143,25.655416,7.53,4.9,5.0893073,9.3,22.6330848492032,22.59,0.0,0.0,6.0,0.0,5.0,2,0.5,1.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.6666666666666667,0.7142857142857143,1.0,1.7320508075688772,respiratory,2022-09-28
2,False,59,-0.9995462806873572,-0.0301203048469083,0.4338837391175582,-0.900968867902419,25.513748,6.14,13.400001,5.0754676,8.2,22.5307163030872,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8571428571428571,1.0,1.7320508075688772,digestive,2022-09-29
2,False,63,-0.9992500112396836,0.0387222808921739,0.0,1.0,25.869997,7.2,18.9,4.767055,7.849999,23.056608956253,7.2,0.0,0.0,0.0,0.0,1.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.85,0.5773502691896258,respiratory,2022-10-03
2,False,65,-0.9973249731081556,0.0730951298980777,0.9749279121818236,-0.2225209339563143,25.605417,5.25,4.8999996,4.3392215,8.25,23.0030795778309,5.25,0.0,0.0,0.0,0.0,1.0,1,0.5,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4285714285714285,0.8181818181818182,0.5773502691896258,respiratory,2022-10-05
2,False,66,-0.9959189961471792,0.0902516100310407,0.4338837391175582,-0.900968867902419,26.140837,5.6,1.7,5.110639,8.25,22.77520423625,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4285714285714285,0.8260869565217391,0.5773502691896257,pain,2022-10-06
2,False,70,-0.9873494423939864,0.1585593851031347,0.0,1.0,25.032503,6.39,10.5,16.458605,4.050000000000001,21.6198318790112,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4285714285714285,0.7407407407407407,0.0,pain,2022-10-10
2,False,71,-0.9844738167520924,0.1755314904214277,0.7818314824680298,0.6234898018587336,23.792915,4.39,100.7,8.300427,3.4500010000000003,22.881617804002,13.169999999999998,0.0,0.0,0.0,0.0,5.0,2,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,0.8571428571428571,1.7320508075688772,respiratory,2022-10-11
2,False,73,-0.9778483415056568,0.2093146459630488,0.4338837391175582,-0.900968867902419,26.363752,5.78,2.2,9.033707,9.0,21.536957646956,5.78,52.727504,0.0,2.0,2.0,10.0,6,0.0909090909090909,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,1.7142857142857142,1.0333333333333334,1.5275252316519468,other,2022-10-13
2,True,77,-0.9611297838723007,0.2760969730974688,0.0,1.0,25.855417,8.51,10.0,4.559009,8.099999,22.5339344671371,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.7142857142857142,0.8333333333333334,0.0,digestive,2022-10-17
2,True,78,-0.9562348265919058,0.2926003356333479,0.7818314824680298,0.6234898018587336,25.005417,11.13,23.999998,4.470703,6.199999999999999,23.2595262823515,22.26,25.005417,0.0,4.0,3.0,13.0,7,0.1428571428571428,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.7142857142857144,1.2,1.1547005383792512,pain,2022-10-18
2,True,79,-0.9510565162951536,0.3090169943749472,0.9749279121818236,-0.2225209339563143,24.097086,7.39,65.00001,5.5111995,1.600000999999999,23.66179527461256,7.39,0.0,0.0,1.0,0.0,4.0,4,0.2,11.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.333333333333333,3.2857142857142856,1.3333333333333333,1.0,respiratory,2022-10-19
2,True,80,-0.9455963874271428,0.3253420847119795,0.4338837391175582,-0.900968867902419,24.7325,6.97,9.3,6.246584,4.149999999999999,22.614205893500003,0.0,0.0,0.0,0.0,0.0,3.0,3,0.0,4.0,1.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.666666666666667,2.571428571428572,1.3333333333333333,1.0,pain,2022-10-20
2,True,82,-0.9338372288229252,0.3576982388331254,-0.9749279121818236,-0.2225209339563146,25.636667,9.8,18.5,4.63919,8.150000000000002,23.340106169806297,9.8,25.636667,0.0,0.0,0.0,3.0,3,0.25,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,3.0,1.4,0.5773502691896252,respiratory,2022-10-22
1,False,84,-0.9209712877166348,0.3896304495307877,0.0,1.0,24.667913,7.79,31.100002,11.052407,6.199999000000002,22.091744173758,0.0,0.0,0.0,0.0,0.0,5.0,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,3.4285714285714284,1.5333333333333334,0.5773502691896252,digestive,2022-10-24
