dow,visits_lag1,visits_lag7,visits_rollmean7,resp_lag1,resp_rollmean7,digest_lag1,digest_rollmean7,temp,humidity,rainfall,pm2_5,visit_count
2,2.0,7.0,0.42857142857142855,1.0,0.14285714285714285,1.0,0.14285714285714285,26.013754,83.63227,2.3999999,5.9,1.0
3,1.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,26.661667,76.58078,0.90000004,7.89,0.0
4,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,25.669998,83.12995,9.2,8.72,0.0
5,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,24.701248,94.538536,57.8,9.4,0.0
6,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,25.317917,92.19126,17.8,3.81,0.0
0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,25.936666,89.490395,14.0,6.57,0.0
1,0.0,2.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,25.71167,89.99518,36.700005,9.64,1.0
2,1.0,1.0,0.7142857142857143,0.0,0.42857142857142855,1.0,0.42857142857142855,25.655416,88.21952,4.9,7.53,4.0
3,4.0,0.0,0.8571428571428571,3.0,0.42857142857142855,2.0,0.5714285714285714,25.513748,88.30814,13.400001,6.14,1.0
4,1.0,0.0,0.8571428571428571,0.0,0.42857142857142855,1.0,0.5714285714285714,26.12208,87.15748,3.9,5.1,0.0
5,0.0,0.0,0.8571428571428571,0.0,0.42857142857142855,0.0,0.5714285714285714,25.43875,90.25179,19.199999,4.46,0.0
6,0.0,0.0,0.8571428571428571,0.0,0.42857142857142855,0.0,0.5714285714285714,25.436666,91.210976,24.7,7.25,0.0
0,0.0,0.0,1.0,0.0,0.5714285714285714,0.0,0.5714285714285714,25.869997,89.1249,18.9,7.2,1.0
1,1.0,1.0,0.8571428571428571,1.0,0.5714285714285714,0.0,0.42857142857142855,25.978338,86.58665,13.999999,5.91,0.0
2,0.0,4.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.14285714285714285,25.605417,89.83677,4.8999996,5.25,1.0
3,1.0,1.0,0.42857142857142855,1.0,0.2857142857142857,0.0,0.0,26.140837,87.125,1.7,5.6,1.0
4,1.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,25.801252,88.669624,8.5,5.9,0.0
5,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,25.140833,89.29645,6.0,4.44,0.0
6,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.0,24.930418,88.43987,12.099999,9.53,0.0
0,0.0,1.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,25.032503,86.36704,10.5,6.39,1.0
1,1.0,0.0,1.0,0.0,0.5714285714285714,0.0,0.0,23.792915,96.16988,100.7,4.39,4.0
2,4.0,1.0,0.8571428571428571,3.0,0.42857142857142855,0.0,0.0,25.02833,90.71958,38.4,4.62,0.0
3,0.0,1.0,1.7142857142857142,0.0,0.7142857142857143,0.0,0.2857142857142857,26.363752,81.69155,2.2,5.78,7.0
4,7.0,0.0,1.7142857142857142,2.0,0.7142857142857143,2.0,0.2857142857142857,25.126245,89.86974,15.9,6.44,0.0
5,0.0,0.0,1.7142857142857142,0.0,0.7142857142857143,0.0,0.2857142857142857,26.749166,79.09739,0.70000005,6.9,0.0
6,0.0,0.0,1.7142857142857142,0.0,0.7142857142857143,0.0,0.2857142857142857,26.826254,77.770775,0.70000005,5.47,0.0
0,0.0,1.0,1.7142857142857142,0.0,0.7142857142857143,0.0,0.42857142857142855,25.855417,87.15363,10.0,8.51,1.0
1,1.0,4.0,2.7142857142857144,0.0,0.7142857142857143,1.0,0.7142857142857143,25.005417,93.01795,23.999998,11.13,11.0
2,11.0,0.0,3.2857142857142856,3.0,0.8571428571428571,2.0,0.8571428571428571,24.097086,98.193596,65.00001,7.39,4.0
3,4.0,7.0,2.5714285714285716,1.0,0.5714285714285714,1.0,0.5714285714285714,24.7325,91.43518,9.3,6.97,2.0
4,2.0,0.0,2.5714285714285716,0.0,0.5714285714285714,0.0,0.5714285714285714,26.351252,88.30016,31.4,6.62,0.0
5,0.0,0.0,3.0,0.0,0.8571428571428571,0.0,0.5714285714285714,25.636667,91.04189,18.5,9.8,3.0
6,3.0,0.0,3.0,2.0,0.8571428571428571,0.0,0.5714285714285714,25.282501,90.388695,16.6,12.37,0.0
0,0.0,1.0,3.4285714285714284,0.0,0.8571428571428571,0.0,0.5714285714285714,24.667913,89.5566,31.100002,7.79,4.0
1,4.0,11.0,2.4285714285714284,0.0,0.5714285714285714,1.0,0.42857142857142855,25.415838,77.67643,1.3000001,6.36,4.0
2,4.0,4.0,2.7142857142857144,1.0,0.8571428571428571,1.0,0.2857142857142857,25.786669,76.27586,2.1,11.55,6.0
3,6.0,2.0,3.4285714285714284,3.0,1.2857142857142858,0.0,0.5714285714285714,24.622086,91.897804,39.300003,11.91,7.0
4,7.0,0.0,3.4285714285714284,3.0,1.2857142857142858,2.0,0.5714285714285714,23.905418,98.06335,83.299995,4.43,0.0
5,0.0,3.0,3.0,0.0,1.0,0.0,0.5714285714285714,25.23667,95.45644,44.100002,2.76,0.0
6,0.0,0.0,3.0,0.0,1.0,0.0,0.5714285714285714,27.005419,82.82149,4.2999997,4.49,0.0
0,0.0,4.0,2.4285714285714284,0.0,1.0,0.0,0.42857142857142855,27.942917,75.735054,1.3,3.82,0.0
1,0.0,4.0,1.8571428571428572,0.0,0.8571428571428571,0.0,0.2857142857142857,26.38875,83.30581,1.5,8.72,0.0
2,0.0,6.0,1.0,0.0,0.42857142857142855,0.0,0.2857142857142857,25.784586,87.76702,33.9,14.6,0.0
3,0.0,7.0,0.0,0.0,0.0,0.0,0.0,25.251251,89.53898,15.1,15.5,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.101252,89.82421,2.6,7.41,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.28042,89.09214,12.099999,7.65,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.830416,90.975075,23.5,8.7,0.0
0,0.0,0.0,2.7142857142857144,0.0,0.5714285714285714,0.0,0.14285714285714285,24.376251,92.243164,3.0000002,6.82,19.0
1,19.0,0.0,4.285714285714286,4.0,1.0,1.0,0.14285714285714285,25.12208,89.1889,2.7,6.8,11.0
2,11.0,0.0,5.142857142857143,3.0,1.2857142857142858,0.0,0.14285714285714285,25.542917,88.33239,10.3,11.05,6.0
3,6.0,0.0,6.285714285714286,2.0,1.5714285714285714,0.0,0.42857142857142855,25.792915,88.87656,2.2,9.69,8.0
4,8.0,0.0,6.285714285714286,2.0,1.5714285714285714,2.0,0.42857142857142855,25.847082,89.92689,4.1000004,7.76,0.0
5,0.0,0.0,6.428571428571429,0.0,1.5714285714285714,0.0,0.42857142857142855,26.332504,87.07556,3.3000002,8.3,1.0
6,1.0,0.0,6.428571428571429,0.0,1.5714285714285714,0.0,0.42857142857142855,26.051249,84.708374,2.6000001,8.55,0.0
0,0.0,19.0,4.714285714285714,0.0,1.4285714285714286,0.0,0.7142857142857143,25.759584,87.03689,5.6,6.48,7.0
1,7.0,11.0,3.7142857142857144,3.0,1.2857142857142858,3.0,0.7142857142857143,26.255419,81.52691,0.9000001,6.8,4.0
2,4.0,6.0,3.4285714285714284,2.0,1.2857142857142858,0.0,0.7142857142857143,24.590834,90.876526,8.2,8.33,4.0
3,4.0,8.0,3.0,2.0,1.4285714285714286,0.0,0.7142857142857143,25.236666,87.94998,0.6,12.57,5.0
4,5.0,0.0,3.0,3.0,1.4285714285714286,2.0,0.7142857142857143,24.90125,89.97769,18.2,8.3,0.0
5,0.0,1.0,2.857142857142857,0.0,1.4285714285714286,0.0,0.7142857142857143,24.224167,94.357414,9.400001,11.3,0.0
6,0.0,0.0,2.857142857142857,0.0,1.4285714285714286,0.0,0.7142857142857143,23.890837,96.28863,14.200001,6.57,0.0
0,0.0,7.0,2.5714285714285716,0.0,1.0,0.0,0.5714285714285714,26.022087,85.448364,0.70000005,8.62,5.0
1,5.0,4.0,4.142857142857143,0.0,1.2857142857142858,2.0,0.7142857142857143,25.515833,89.893394,3.8,10.03,15.0
2,15.0,4.0,3.5714285714285716,4.0,1.0,1.0,0.7142857142857143,26.917913,83.795944,0.2,8.62,0.0
